Year,Region,Euro,Australia,SSA,N_America,S_America,ME,EA,WA,USA
2015,Euro,37020,10480,6310,1590,3520,540,27550,15140,15960
2016,Australia,58290,6630,4740,5160,15470,2550,12530,5490,54870
2017,SSA,96770,5950,2290,2390,10030,2960,24020,7870,23650
2018,N_America,44320,3720,12300,5610,14850,3560,10510,9690,7870
2015,S_America,
2016,ME,
2017,EA,
2018,WA,
2015,USA
2016,
2017,
2018,
2015,
2016,
2017,
2018,
2015,
2016,
2017,
2018,
2015,
2016,
2017,
2018,
2015,
2016,
2017,
2018,
2015,
2016,
2017,
2018,
2015,
2016,
2017,
2018,

