"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"YI","111, Inc.","3.53","288255083.92","n/a","China","2018","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/yi",
"VNET","21Vianet Group, Inc.","7.5","842945332.5","n/a","China","2011","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/vnet",
"QFIN","360 Finance, Inc.","10.5","1510176706.5","n/a","China","2018","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/qfin",
"JOBS","51job, Inc.","73.76","4608713256.8","n/a","China","2004","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/jobs",
"JFK","8i Enterprises Acquisition Corp","9.98","74126450","n/a","Singapore","2019","Finance","Business Services","https://www.nasdaq.com/symbol/jfk",
"JFKKR","8i Enterprises Acquisition Corp","0.44","0","n/a","Singapore","2019","Finance","Business Services","https://www.nasdaq.com/symbol/jfkkr",
"JFKKU","8i Enterprises Acquisition Corp","10.67","53350000","n/a","Singapore","2019","Finance","Business Services","https://www.nasdaq.com/symbol/jfkku",
"JFKKW","8i Enterprises Acquisition Corp","0.31","1782500","n/a","Singapore","2019","Finance","Business Services","https://www.nasdaq.com/symbol/jfkkw",
"ATV","Acorn International, Inc.","17.85","46070136","n/a","China","2007","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/atv",
"AGBA","AGBA Acquisition Limited","10","59750000","n/a","Hong Kong","2019","Finance","Business Services","https://www.nasdaq.com/symbol/agba",
"AGBAR","AGBA Acquisition Limited","0.225","0","n/a","Hong Kong","2019","Finance","Business Services","https://www.nasdaq.com/symbol/agbar",
"AGBAU","AGBA Acquisition Limited","10.02","59869500","n/a","Hong Kong","2019","Finance","Business Services","https://www.nasdaq.com/symbol/agbau",
"AGBAW","AGBA Acquisition Limited","0.15","0","n/a","Hong Kong","2019","Finance","Business Services","https://www.nasdaq.com/symbol/agbaw",
"AGMH","AGM Group Holdings Inc.","16.21","345533251.55","n/a","Hong Kong","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/agmh",
"ANTE","AirNet Technology Inc.","1.25","15708096.25","n/a","China","n/a","Technology","Advertising","https://www.nasdaq.com/symbol/ante",
"ALAC","Alberton Acquisition Corporation","10.141","148968754.75","n/a","Hong Kong","2018","Finance","Business Services","https://www.nasdaq.com/symbol/alac",
"ALACR","Alberton Acquisition Corporation","0.26","0","n/a","Hong Kong","2018","Finance","Business Services","https://www.nasdaq.com/symbol/alacr",
"ALACU","Alberton Acquisition Corporation","10.43","0","n/a","Hong Kong","2018","Finance","Business Services","https://www.nasdaq.com/symbol/alacu",
"ALACW","Alberton Acquisition Corporation","0.13","0","n/a","Hong Kong","2018","Finance","Business Services","https://www.nasdaq.com/symbol/alacw",
"BABA","Alibaba Group Holding Limited","161","419174929873","n/a","China","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/baba",
"ACH","Aluminum Corporation of China Limited","7.63","5195319784.34","n/a","China","2001","Basic Industries","Aluminum","https://www.nasdaq.com/symbol/ach",
"AMBO","Ambow Education Holding Ltd.","2.77","59958195.66","n/a","China","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/ambo",
"APM","Aptorum Group Limited","19.84","576056701.44","n/a","Hong Kong","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/apm",
"APWC","Asia Pacific Wire & Cable Corporation Limited","2.04","28192124.76","n/a","Taiwan","n/a","Basic Industries","Telecommunications Equipment","https://www.nasdaq.com/symbol/apwc",
"ASLN","ASLAN Pharmaceuticals Limited","3.2145","103024043.526","n/a","Singapore","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/asln",
"ATAI","ATA Inc.","2.5164","59880737.5488","n/a","China","2008","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/atai",
"ATIF","ATIF Holdings Limited","3.2","124800000","n/a","China","2019","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/atif",
"AUO","AU Optronics Corp","2.51","2415685522.61","n/a","Taiwan","2002","Technology","Semiconductors","https://www.nasdaq.com/symbol/auo",
"JG","Aurora Mobile Limited","5.17","593629827.89","n/a","China","2018","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/jg",
"AZRE","Azure Power Global Limited","11","451440308","n/a","India","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/azre",
"BIDU","Baidu, Inc.","107.76","37717649805.6","n/a","China","2005","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/bidu",
"BZUN","Baozun Inc.","45.36","2723126545.44","n/a","China","2015","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/bzun",
"GLG","Bat Group, Inc.","0.34","2939977.28","n/a","China","2013","Finance","Major Banks","https://www.nasdaq.com/symbol/glg",
"BILI","Bilibili Inc.","14.72","4800536477.44","n/a","China","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/bili",
"BIQI","BIQI International Holdings Corporation","0.6926","5564171.787","n/a","China","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/biqi",
"BITA","Bitauto Holdings Limited","11.27","790777322.79","n/a","China","2010","Technology","EDP Services","https://www.nasdaq.com/symbol/bita",
"BHAT","Blue Hat Interactive Entertainment Technology","3.7","129500000","n/a","China","2019","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/bhat",
"BNSO","Bonso Electronics International, Inc.","2.6499","12487123.77","n/a","Hong Kong","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/bnso",
"BRQS","Borqs Technologies, Inc. ","2.5","78258375","n/a","China","2015","Technology","EDP Services","https://www.nasdaq.com/symbol/brqs",
"BEDU","Bright Scholar Education Holdings Limited","9.06","1122748504.56","n/a","China","2017","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/bedu",
"CSIQ","Canadian Solar Inc.","21.8","1291884241","n/a","China","2006","Technology","Semiconductors","https://www.nasdaq.com/symbol/csiq",
"CAJ","Canon, Inc.","27.23","28968278678.08","n/a","Japan","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/caj",
"CPRI","Capri Holdings Limited","33.19","5009673740.69","n/a","Hong Kong","2011","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/cpri",
"CBAT","CBAK Energy Technology, Inc.","0.922","29269367.596","n/a","China","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cbat",
"CYOU","Changyou.com Limited","7.53","400977846.3","n/a","China","2009","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cyou",
"CAAS","China Automotive Systems, Inc.","2.1799","70494264.5298","n/a","China","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/caas",
"CBPO","China Biologic Products Holdings, Inc.","95.82","3733493014.38","n/a","China","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/cbpo",
"CCCL","China Ceramics Co., Ltd.","0.846","5086054.71","n/a","China","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/cccl",
"CCRC","China Customer Relations Centers, Inc.","10.1","185128960","n/a","China","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ccrc",
"DL","China Distance Education Holdings Limited","4.96","166446053.12","n/a","China","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/dl",
"CEA","China Eastern Airlines Corporation Ltd.","26.05","7537612123.65","n/a","China","1997","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/cea",
"JRJC","China Finance Online Co. Limited","0.7601","17953260.2403","n/a","China","2004","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/jrjc",
"CGA","China Green Agriculture, Inc.","4.2326","16865763.9654","n/a","China","n/a","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/cga",
"HGSH","China HGS Real Estate, Inc.","0.8266","37238330","n/a","China","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/hgsh",
"CIH","China Index Holdings Limited","2.78","267192294.08","n/a","China","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/cih",
"CIFS","China Internet Nationwide Financial Services Inc.","1.96","43343808.48","n/a","China","2017","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/cifs",
"CJJD","China Jo-Jo Drugstores, Inc.","1.1","36230464.6","n/a","China","n/a","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/cjjd",
"CLDC","China Lending Corporation","0.8056","20371892.7656","n/a","Hong Kong","2014","Finance","Diversified Financial Services","https://www.nasdaq.com/symbol/cldc",
"LFC","China Life Insurance Company Limited","12.31","69587703710","n/a","China","2003","Finance","Life Insurance","https://www.nasdaq.com/symbol/lfc",
"CHL","China Mobile (Hong Kong) Ltd.","41.6","170356017686.4","n/a","Hong Kong","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/chl",
"CHNR","China Natural Resources, Inc.","1.48","36868155.68","n/a","Hong Kong","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/chnr",
"COE","China Online Education Group","5.6783","115806095.0283","n/a","China","2016","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/coe",
"SNP","China Petroleum & Chemical Corporation","62.09","75173114040.64","n/a","China","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/snp",
"CPHI","China Pharma Holdings, Inc.","0.2851","12424531.7007","n/a","China","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cphi",
"CREG","China Recycling Energy Corporation","0.3431","5526139.4638","n/a","China","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/creg",
"ZNH","China Southern Airlines Company Limited","30.99","7603193360.55","n/a","China","1997","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/znh",
"SXTC","China SXT Pharmaceuticals, Inc.","2.25","60090077.25","n/a","China","2019","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/sxtc",
"CNTF","China TechFaith Wireless Communication Technology Limited","0.4509","4773547.0881","n/a","China","2005","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/cntf",
"CHA","China Telecom Corp Ltd","43.65","35326978762.95","n/a","China","2002","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/cha",
"CHU","China Unicom (Hong Kong) Ltd","9.59","29343601242.06","n/a","Hong Kong","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/chu",
"CXDC","China XD Plastics Company Limited","2","101897682","n/a","China","n/a","Capital Goods","Containers/Packaging","https://www.nasdaq.com/symbol/cxdc",
"CYD","China Yuchai International Limited","13.25","541372355.75","n/a","Singapore","1994","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cyd",
"CCIH","ChinaCache International Holdings Ltd.","0.8839","23548606.5851","n/a","China","2010","Technology","EDP Services","https://www.nasdaq.com/symbol/ccih",
"CNET","ChinaNet Online Holdings, Inc.","1.33","21828682.19","n/a","China","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/cnet",
"IMOS","ChipMOS TECHNOLOGIES INC.","17.8","647265654.2","n/a","Taiwan","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/imos",
"CHT","Chunghwa Telecom Co., Ltd.","33.87","26274472989","n/a","Taiwan","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/cht",
"CLPS","CLPS Incorporation","5.38","74853021.38","n/a","China","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/clps",
"CEO","CNOOC Limited","157.37","1603989161.27","n/a","Hong Kong","2001","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ceo",
"CCM","Concord Medical Services Holdings Limited","2.68","116292682.56","n/a","China","2009","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/ccm",
"CTRP","Ctrip.com International, Ltd.","36.44","20150685652.48","n/a","China","2003","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ctrp",
"DQ","DAQO New Energy Corp.","43.62","579325507.8","n/a","China","2010","Technology","Semiconductors","https://www.nasdaq.com/symbol/dq",
"DTSS","Datasea Inc.","1.2901","27019655.7246","n/a","China","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/dtss",
"DSWL","Deswell Industries, Inc.","2.71","43130297.69","n/a","Macau","1995","Consumer Non-Durables","Plastic Products","https://www.nasdaq.com/symbol/dswl",
"DOGZ","Dogness (International) Corporation","2.96","76704347.76","n/a","China","2017","Consumer Durables","Miscellaneous manufacturing industries","https://www.nasdaq.com/symbol/dogz",
"DOYU","DouYu International Holdings Limited","8.8","2856688384","n/a","China","2019","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/doyu",
"RDY","Dr. Reddy&#39;s Laboratories Ltd","35.98","5962488305.2","n/a","India","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/rdy",
"LYL","Dragon Victory International Limited","0.895","10222146.735","n/a","China","2017","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/lyl",
"DXF","Dunxin Financial Holdings Limited","1.96","40868536.24","n/a","China","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/dxf",
"CLWT","Euro Tech Holdings Company Limited","4.07","8391969.63","n/a","Hong Kong","1997","Consumer Durables","Diversified Electronic Products","https://www.nasdaq.com/symbol/clwt",
"EVK","Ever-Glory International Group, Inc.","3.3","48840462","n/a","China","n/a","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/evk",
"SFUN","Fang Holdings Limited","1.98","887966649.9","n/a","China","2010","Technology","EDP Services","https://www.nasdaq.com/symbol/sfun",
"FANH","Fanhua Inc.","33.03","2103144953.4","n/a","China","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/fanh",
"FAMI","FARMMI, INC.","1.405","16764460","n/a","China","2018","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/fami",
"FLLCU","Fellazo Inc.","9.96","51936420","n/a","China","2019","Finance","Business Services","https://www.nasdaq.com/symbol/fllcu",
"FLEX","Flex Ltd.","10.74","5528173597.02","n/a","Singapore","1994","Technology","Electrical Products","https://www.nasdaq.com/symbol/flex",
"FTEO","FRONTEO, Inc.","6.4501","123035212.4431","n/a","Japan","2013","Technology","EDP Services","https://www.nasdaq.com/symbol/fteo",
"FORK","Fuling Global Inc.","2.05","32381615.5","n/a","China","2015","Consumer Non-Durables","Plastic Products","https://www.nasdaq.com/symbol/fork",
"FHL","Futu Holdings Limited","10.67","1184833824.9","n/a","Hong Kong","2019","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/fhl",
"FTFT","Future FinTech Group Inc.","1.06","32878107.98","n/a","China","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/ftft",
"FFHL","Fuwei Films (Holdings) Co., Ltd.","2.1","6858257.7","n/a","China","2006","Capital Goods","Specialty Chemicals","https://www.nasdaq.com/symbol/ffhl",
"GDS","GDS Holdings Limited","39.87","5018983318.35","n/a","China","2016","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/gds",
"GIGM","GigaMedia Limited","2.56","28293721.6","n/a","Taiwan","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/gigm",
"CO","Global Cord Blood Corporation","5.59","679470509.25","n/a","Hong Kong","n/a","Finance","Business Services","https://www.nasdaq.com/symbol/co",
"DNJR","GOLDEN BULL LIMITED","1.1","16939103.5","n/a","China","2018","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/dnjr",
"GRVY","GRAVITY Co., Ltd.","40.23","279554247","n/a","South Korea","2005","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/grvy",
"GLAC","Greenland Acquisition Corporation","10.2","58976400","n/a","China","2018","Finance","Business Services","https://www.nasdaq.com/symbol/glac",
"GLACR","Greenland Acquisition Corporation","0.37","0","n/a","China","2018","Finance","Business Services","https://www.nasdaq.com/symbol/glacr",
"GLACU","Greenland Acquisition Corporation","10.52","0","n/a","China","2018","Finance","Business Services","https://www.nasdaq.com/symbol/glacu",
"GLACW","Greenland Acquisition Corporation","0.07","0","n/a","China","2018","Finance","Business Services","https://www.nasdaq.com/symbol/glacw",
"GRNQ","Greenpro Capital Corp.","1.08","59101800.12","n/a","China","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/grnq",
"GSUM","Gridsum Holding Inc.","2.77","95018506.7","n/a","China","2016","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/gsum",
"GRIN","Grindrod Shipping Holdings Ltd.","5.7","108663848.1","n/a","Singapore","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/grin",
"GSH","Guangshen Railway Company Limited","16.68","2363067943.2","n/a","China","n/a","Transportation","Railroads","https://www.nasdaq.com/symbol/gsh",
"GURE","Gulf Resources, Inc.","0.8388","39357133.488","n/a","China","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/gure",
"HLG","Hailiang Education Group Inc.","62.7","1616289440.7","n/a","China","2015","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/hlg",
"HDB","HDFC Bank Limited","113.82","103738206835.2","n/a","India","2001","Finance","Commercial Banks","https://www.nasdaq.com/symbol/hdb",
"HEBT","Hebron Technology Co., Ltd.","2.07","33678024.39","n/a","China","2016","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/hebt",
"HX","Hexindai Inc.","2.31","113661431.73","n/a","China","2017","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/hx",
"HPJ","Highpower International Inc","4.47","69376424.91","n/a","China","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/hpj",
"HIHO","Highway Holdings Limited","2.0173","7669520.4202","n/a","Hong Kong","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/hiho",
"HIMX","Himax Technologies, Inc.","2.98","512992555.94","n/a","Taiwan","2006","Technology","Semiconductors","https://www.nasdaq.com/symbol/himx",
"HOLI","Hollysys Automation Technologies, Ltd.","16.12","972714635.88","n/a","China","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/holi",
"HMC","Honda Motor Company, Ltd.","24.46","43038871477.1","n/a","Japan","n/a","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/hmc",
"HMI","Huami Corporation","11.98","723997738.64","n/a","China","2018","Technology","Computer Manufacturing","https://www.nasdaq.com/symbol/hmi",
"HNP","Huaneng Power International, Inc.","24","9418855992","n/a","China","1994","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/hnp",
"HTHT","Huazhu Group Limited","30.93","9077989765.32","n/a","China","2010","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/htht",
"HHT","Huitao Technology Co., Ltd.","3.45","23924459.7","n/a","China","n/a","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/hht",
"HCM","Hutchison China MediTech Limited","20.11","2680974503.9","n/a","Hong Kong","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/hcm",
"IBN","ICICI Bank Limited","11.69","37727090006.2","n/a","India","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/ibn",
"ICLK","iClick Interactive Asia Group Limited","3.74","213146115.6","n/a","Hong Kong","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/iclk",
"INFY","Infosys Limited","11.08","47327156475.12","n/a","India","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/infy",
"IQ","iQIYI, Inc.","17.465","12697751643.92","n/a","China","2018","Consumer Services","Consumer Electronics/Video Chains","https://www.nasdaq.com/symbol/iq",
"ITP","IT Tech Packaging, Inc.","0.64","14094282.24","n/a","China","n/a","Consumer Durables","Containers/Packaging","https://www.nasdaq.com/symbol/itp",
"JD","JD.com, Inc.","28.01","40545147240","n/a","China","2014","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/jd",
"JFIN","Jiayin Group Inc.","12.77","683195000","n/a","China","2019","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/jfin",
"JKS","JinkoSolar Holding Company Limited","19.9","782889561.6","n/a","China","2010","Technology","Semiconductors","https://www.nasdaq.com/symbol/jks",
"JMU","JMU Limited","1.09","8939263.31","n/a","China","2015","Technology","EDP Services","https://www.nasdaq.com/symbol/jmu",
"KXIN","Kaixin Auto Holdings","1.65","101232217.35","n/a","China","2017","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/kxin",
"KNDI","Kandi Technologies Group, Inc.","5.22","274471990.02","n/a","China","n/a","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/kndi",
